Date,Open,High,Low,Close,Volume,MA_20,MA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,Daily_Return,MA_20_Norm,MA_50_Norm,RSI_14_Norm,MACD_Norm,MACD_Signal_Norm,MACD_Hist_Norm,Daily_Return_Norm,Next_Close,Signal,Position,Probability_Up,Market_Return,Strategy_Return,Market_Equity,Strategy_Equity,Explanation
2025-07-01,206.6699981689453,210.19000244140625,206.13999938964844,207.82000732421875,78788900,200.96300048828124,203.0570004272461,59.360251151620034,0.5442480080629934,-0.3311324872599699,0.8753804953229634,0.012916163079025322,0.0,0.0,0.683162233054989,0.4927850820827605,0.3869141984728403,0.5348195708450819,0.6234399680358992,212.44000244140625,BUY,1,0.5886891692730464,0.022230752354752224,0.022230752354752224,10222.307523547523,10222.307523547523,model probability of an upward move is 0.59; price is above the 20-day moving average; MACD is above the signal line; RSI is neutral at 59.36
2025-07-02,208.91000366210938,213.33999633789062,208.13999938964844,212.44000244140625,67941800,201.4215003967285,203.44260040283203,74.18556725540542,1.3262597352259604,0.000345957237216199,1.3259137779887442,0.022230752354752248,0.005989469918582117,0.00550842951227683,0.8746444910036517,0.5495166051433213,0.4145617099187999,0.6208886279337361,0.715765472910796,213.5500030517578,HOLD,1,0.5758142072245358,0.005225007520218398,0.005225007520218398,10275.719157232044,10275.719157232044,"model probability of an upward move is 0.58; price is above the 20-day moving average; MACD is above the signal line; RSI is high at 74.19, so buying is risky"
2025-07-03,212.14999389648438,214.64999389648438,211.80999755859375,213.5500030517578,34955800,201.95800018310547,203.71880035400392,74.8012612107032,2.012379972031539,0.4027527601960808,1.6096272118354582,0.005225007520218483,0.012997866807281048,0.009454041697580505,0.8825967308034939,0.5992916208938734,0.44812511917038306,0.6750887251831231,0.547205815458861,209.9499969482422,HOLD,1,0.5356859639988308,-0.01685790705722021,-0.01685790705722021,10102.492038733328,10102.492038733328,"model confidence is neutral at 0.54; price is above the 20-day moving average; MACD is above the signal line; RSI is high at 74.80, so buying is risky"
2025-07-07,212.67999267578125,216.22999572753906,208.8000030517578,209.9499969482422,50229000,202.42399978637695,203.82580017089845,72.66621986798944,2.2398254829574,0.7701673047483447,1.4696581782090554,-0.016857907057220234,0.0190853066397511,0.010982571226905357,0.8550207564192316,0.6157917957632748,0.4787699408610646,0.6483492961346117,0.32832163526379443,210.00999450683594,HOLD,1,0.5126480721628783,0.0002857707047671016,0.0002857707047671016,10105.379035003141,10105.379035003141,"model confidence is neutral at 0.51; price is above the 20-day moving average; MACD is above the signal line; RSI is high at 72.67, so buying is risky"
2025-07-08,210.10000610351562,211.42999267578125,208.4499969482422,210.00999450683594,42848900,202.72849960327147,203.85860015869142,70.79296442133756,2.3972845861295013,1.095590761024576,1.3016938251049253,0.00028577070476720756,0.023063044606329675,0.011451130439043717,0.830825981742694,0.6272147635173655,0.5059124259352554,0.6162616922829278,0.4982484734672435,211.13999938964844,HOLD,1,0.5398048884284296,0.005380719548448528,0.005380719548448528,10159.753245521266,10159.753245521266,"model confidence is neutral at 0.54; price is above the 20-day moving average; MACD is above the signal line; RSI is high at 70.79, so buying is risky"
2025-07-09,209.52999877929688,211.3300018310547,207.22000122070312,211.13999938964844,48749400,203.2129997253418,203.89580017089844,79.55758825015101,2.5834733375442056,1.3931672763285021,1.1903060612157035,0.005380719548448543,0.029392160170424415,0.011982545527405306,0.9440289616362112,0.6407219413225125,0.5307322905433262,0.5949823769070849,0.5487492213134699,212.41000366210938,HOLD,1,0.552083570582989,0.006014986625614256,0.006014986625614256,10220.864025412617,10220.864025412617,"model probability of an upward move is 0.55; price is above the 20-day moving average; MACD is above the signal line; RSI is high at 79.56, so buying is risky"
2025-07-10,210.50999450683594,213.47999572753906,210.02999877929688,212.41000366210938,44443600,203.7,203.94120025634766,79.81167610450919,2.80121730597088,1.6747772822569778,1.1264400237139023,0.0060149866256142825,0.035753935694621534,0.012631101508687057,0.9473107342290675,0.6565183118077874,0.5542204418589101,0.5827815255177184,0.5550360286424256,211.16000366210938,HOLD,1,0.5539271660492042,-0.005884845244805108,-0.005884845244805108,10160.715822354867,10160.715822354867,"model probability of an upward move is 0.55; price is above the 20-day moving average; MACD is above the signal line; RSI is high at 79.81, so buying is risky"
2025-07-11,210.57000732421875,212.1300048828125,209.86000061035156,211.16000366210938,39765800,204.31900024414062,203.9402001953125,71.72797592009564,2.8401766281744756,1.9078571514404774,0.9323194767339982,-0.005884845244805148,0.04384005146819043,0.012616815289628856,0.8429024940906801,0.6593446398655973,0.5736608563354787,0.5456970900655024,0.43708579456974617,208.6199951171875,HOLD,1,0.5458136510898403,-0.012028833590031117,-0.012028833590031117,10038.494262572163,10038.494262572163,"model confidence is neutral at 0.55; price is above the 20-day moving average; MACD is above the signal line; RSI is high at 71.73, so buying is risky"
2025-07-14,209.92999267578125,210.91000366210938,207.5399932861328,208.6199951171875,38840100,204.79000015258788,203.86260009765624,64.00470369031999,2.6357118641729755,2.053428093986977,0.5822837701859984,-0.012028833590031152,0.049992811220865976,0.011508270955735048,0.7431495043428228,0.6445116174554284,0.5858024431175649,0.4788269067314634,0.3761870464739313,209.11000061035156,BUY,1,0.5544368644033952,0.002348794481031471,0.002348794481031471,10062.072622493959,10062.072622493959,model probability of an upward move is 0.55; price is above the 20-day moving average; MACD is above the signal line; RSI is neutral at 64.00
2025-07-15,209.22000122070312,211.88999938964844,208.9199981689453,209.11000061035156,42296300,205.42300033569336,203.77839996337892,67.82676998090646,2.484570827852451,2.139656640760072,0.3449141870923791,0.0023487944810314243,0.05826181081130604,0.010305442807506799,0.7925149194360026,0.6335469977578161,0.5929944785981641,0.4334802542544022,0.5186970092077144,210.16000366210938,BUY,1,0.5849925442916903,0.005021295245053116,0.005021295245053116,10112.597259908664,10112.597259908664,model probability of an upward move is 0.58; price is above the 20-day moving average; MACD is above the signal line; RSI is neutral at 67.83
