Date,Open,High,Low,Close,Volume,MA_20,MA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,Daily_Return,MA_20_Norm,MA_50_Norm,RSI_14_Norm,MACD_Norm,MACD_Signal_Norm,MACD_Hist_Norm,Daily_Return_Norm
2025-12-30,272.80999755859375,274.0799865722656,272.2799987792969,273.0799865722656,22139600,276.1889984130859,272.46979919433596,39.13046292355912,-0.2353720500598797,0.35468875384429055,-0.5900608039041703,-0.0024840121606569676,1.0,0.9548305751048809,0.4229007344141521,0.6406981770190153,0.8753370524550993,0.22828869503132343,0.5244726471283143
2025-12-31,273.05999755859375,273.67999267578125,271.75,271.8599853515625,27293600,275.4724975585938,272.6621990966797,31.27709291476414,-0.38145256554747675,0.20746048996593708,-0.5889130555134139,-0.004467559984957958,0.9690362630341003,0.9695853957101297,0.3212211231166463,0.625356805945385,0.8516246344701092,0.2285146758527143,0.5025702306600626
2026-01-02,272.260009765625,277.8399963378906,269.0,271.010009765625,37838100,274.8154983520508,272.8269995117187,31.10879702249065,-0.5593603943313497,0.05409631310647975,-0.6134567074378294,-0.0031265196488491354,0.9406439024518914,0.9822236586715521,0.319042152701376,0.6066729314453048,0.8269239732667674,0.22368226252372994,0.5173780530792323
2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45647200,274.1434982299805,273.0031994628906,25.045368539043196,-0.991517691591298,-0.15502648783307582,-0.8364912037582222,-0.013837127282653072,0.911603274111559,0.9957361326308714,0.2405373769634808,0.5612877858814875,0.7932428910109323,0.17976887603335984,0.3991110840908341
2026-01-06,267.0,267.54998779296875,262.1199951171875,262.3599853515625,52352100,273.32249755859374,273.05879943847657,24.243818901851654,-1.7096882601778702,-0.46595884230203477,-1.2437294178758354,-0.01833429707033085,0.8761235553111336,1.0,0.2301595066410562,0.4858655356924666,0.7431644769890366,0.09958751671347546,0.3494531507597488
2026-01-07,263.20001220703125,263.67999267578125,259.80999755859375,260.3299865722656,48309800,272.44449615478516,273.0089990234375,20.665642729523867,-2.4148111067331683,-0.8557292951882616,-1.5590818115449068,-0.007737455757884204,0.8381805377239615,0.9961808910450725,0.18383193491721836,0.4118135568546879,0.6803884878306398,0.03749760787730996,0.46646390735946597
2026-01-08,257.0199890136719,259.2900085449219,255.6999969482422,259.0400085449219,50419300,271.53749694824216,272.81359924316405,22.003583071455836,-3.0426427965946345,-1.2931119954695363,-1.7495308011250983,-0.004955164959399183,0.798984373918152,0.9811960149140558,0.2011545943302528,0.34587869282576855,0.6099441238527926,0.0,0.49718607652404295
2026-01-09,259.0799865722656,260.2099914550781,256.2200012207031,259.3699951171875,39997000,270.5669967651367,272.6209991455078,21.935218366108955,-3.4735360145493814,-1.7291967992855053,-1.7443392152638761,0.00127388264893602,0.7570440018911931,0.9664258416714813,0.20026945882048378,0.3006263008302343,0.5397087976145469,0.0010221742384383978,0.5659674758161946
2026-01-12,259.1600036621094,261.29998779296875,256.79998779296875,260.25,45263800,269.67799682617186,272.4319989013672,19.82913465457125,-3.701346140363057,-2.123626667501016,-1.5777194728620412,0.0033928553779511983,0.7186256802657166,0.9519317350598185,0.17300144866569156,0.27670168868896106,0.4761823682828899,0.03382802833603471,0.5893652596392862
2026-01-13,258.7200012207031,261.80999755859375,258.3900146484375,261.04998779296875,45730800,268.81649627685545,272.22499877929687,25.614515207028944,-3.773832584335082,-2.4536678508678293,-1.3201647334672528,0.003073920434077726,0.681395750618363,0.9360572484867637,0.24790626597638254,0.2690891646567799,0.42302630784927026,0.08453812475637833,0.5858435669019523
2026-01-14,259.489990234375,261.82000732421875,256.7099914550781,259.9599914550781,40019400,268.10899658203124,272.0167987060547,19.06190466763418,-3.8745685934972016,-2.737847999393704,-1.1367205941034975,-0.004175431483854575,0.6508210006838101,0.9200907397034078,0.16306792372541926,0.25850987219005855,0.3772565739179522,0.12065654376409016,0.5057959255563614
2026-01-15,260.6499938964844,261.0400085449219,257.04998779296875,258.2099914550781,39388600,267.288996887207,271.79999877929686,11.651895496030761,-4.048939328954759,-3.0000662653059154,-1.048873063648844,-0.006731805114335909,0.6153845392986365,0.9034647228105886,0.06712861977873084,0.24019746311820425,0.335023996009222,0.13795289307652178,0.4775683430311001
2026-01-16,257.8999938964844,258.8999938964844,254.92999267578125,255.52999877929688,72142800,266.47349700927737,271.5097985839844,10.482072767126837,-4.35320140831908,-3.2706932939085487,-1.0825081144105315,-0.010379120733008063,0.5801425384585472,0.8812097644177586,0.05198262255349764,0.20824386925538185,0.29143711227361185,0.13133046915515928,0.43729453430684184
2026-01-20,252.72999572753906,254.7899932861328,243.4199981689453,246.6999969482422,80267500,265.19899673461913,271.04099822998046,6.467120666792027,-5.246361856927194,-3.665827006512278,-1.5805348504149164,-0.03455563680678142,0.5250647377552171,0.8452582642415886,0.0,0.11444418745215998,0.22779732255930701,0.03327370707795398,0.17033645176816012
2026-01-21,248.6999969482422,251.55999755859375,245.17999267578125,247.64999389648438,54641700,263.89799575805665,270.5985983276367,9.44172689883429,-5.810560607322486,-4.09477372667432,-1.7157868806481664,0.0038508186461043703,0.46884170357724414,0.8113313697091741,0.03851299570738097,0.055192052694820484,0.15871164801670037,0.00664385934037387,0.594422108838164
2026-01-22,249.1999969482422,251.0,248.14999389648438,248.35000610351562,39708300,262.7669960021973,270.19619842529295,11.871532988331438,-6.1305380208054885,-4.501926585500554,-1.6286114353049346,0.002826619116832463,0.41996530834426454,0.780472007005107,0.06997232315937908,0.021588034944486235,0.09313606817933717,0.02380788144002363,0.5831128556092403
2026-01-23,247.32000732421875,249.41000366210938,244.67999267578125,248.0399932861328,41689000,261.5509963989258,269.7683984375,12.083160166944992,-6.336099261578511,-4.868761120716146,-1.4673381408623651,-0.0012482899527435087,0.36741562660937843,0.7476647550370884,0.07271231493836261,0.0,0.03405411203028678,0.055561070414245434,0.5381175424543577
